# PASR_MODULAR AI Training Data Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Format: CSV dengan 34 feature dimensions + label + metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Generated for PASR_MODULAR v2.15.0 AI Training System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# INSTRUCTIONS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 1. Data ini akan digunakan untuk offline training/pre-training AI model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2. Setiap baris merepresentasikan satu kondisi market dan keputusan trading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 3. Feature values harus dalam range 0.0 - 1.0 (normalized),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 4. Label: 1.0 untuk profitable trade, -1.0 untuk unprofitable trade, 0.0 untuk no trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 5. Weight: Importance factor (0.1 - 2.0) untuk training sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# FEATURE DIMENSIONS (34 total):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [0-3] Price Returns (1,2,3,5 bars) - Normalized price changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [4-7] ATR Ratios (3,5,10,20 periods) - Volatility ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [8-11] Technical Indicators (RSI, MACD, CCI, Stochastic) - Normalized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [12-15] Volume Analysis (ratio, OBV, spike, MFI) - Volume patterns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [16-18] Structure Features (SR distance, zone strength, pattern score) - S/R quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [19-21] Market Regime (trend, range, volatile) - One-hot encoded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [22-23] Time Features (hour, day_of_week) - Temporal patterns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [24-25] Statistical Features (Z-score, skewness) - Price distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [26-33] Advanced Pattern Features (8 dimensions) - Pattern recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# METADATA COLUMNS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [34] timestamp - Unix timestamp atau datetime string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [35] symbol - Currency pair (e.g., EURUSD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [36] timeframe - Timeframe (e.g., H1, H4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [37] label - Training label (1.0=good, -1.0=bad, 0.0=no_trade),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [38] weight - Sample importance (0.1-2.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [39] regime - Market regime (TREND_UP, RANGE, VOLATILE, etc.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [40] trade_type - Trade type (BUY, SELL, NO_TRADE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [41] profit_pips - Actual profit/loss in pips (if available),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [42] duration_bars - Trade duration in bars (if available),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# [43] notes - Additional notes or comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#HEADER_ROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,timestamp,symbol,timeframe,label,weight,regime,trade_type,profit_pips,duration_bars,notes,
0.53,0.63,0.39,0.38,0.84,0.82,0.85,0.88,0.47,0.51,0.67,0.35,0.36,0.63,0.69,0.32,0.41,0.48,0.37,0.53,0.35,1.0,0.53,0.6,0.63,0.64,0.6,0.69,0.5,0.47,0.66,0.67,0.49,0.44,1714558000,GBPUSD,H1,-1.0,0.8,VOLATILE,BUY,-45.5,4,Whipsawed in high volatility,
0.47,0.35,0.3,0.69,0.58,0.54,0.67,0.36,0.57,0.31,0.32,0.3,0.49,0.62,0.64,0.67,0.33,0.35,0.34,0.53,0.49,0.63,0.52,0.53,0.41,0.57,0.33,0.5,0.48,0.59,0.33,0.38,0.44,0.44,1714561600,USDCHF,M15,0.0,1.0,RANGE,NO_TRADE,0.0,0,,
0.49,0.62,0.52,0.5,0.61,0.35,0.45,0.61,0.67,0.7,0.63,0.63,0.27,0.15,0.22,0.16,0.43,0.63,0.58,0.66,0.32,0.42,0.52,0.54,0.48,0.6,0.41,0.3,0.58,0.37,0.34,0.36,0.4,0.63,1714565200,USDJPY,H4,0.0,0.5,RANGE,NO_TRADE,0.0,0,Low liquidity - criteria not met,
0.52,0.53,0.4,0.43,0.82,0.87,0.93,0.98,0.68,0.33,0.51,0.46,0.43,0.7,0.32,0.35,0.51,0.47,0.48,0.43,0.32,1.0,0.39,0.38,0.38,0.56,0.51,0.46,0.39,0.5,0.3,0.44,0.49,0.53,1714568800,USDCHF,H4,-1.0,0.8,VOLATILE,BUY,-30.4,2,Whipsawed in high volatility,
0.18,0.12,0.15,0.2,0.3,0.65,0.38,0.39,0.33,0.36,0.31,0.4,0.63,0.32,0.38,0.62,0.33,0.51,0.36,1.0,0.0,0.0,0.38,0.52,0.47,0.31,0.31,0.64,0.61,0.39,0.4,0.6,0.7,0.51,1714572400,EURUSD,H1,1.0,1.5,TREND_DOWN,SELL,45.6,27,Strong bearish trend capture,
0.44,0.69,0.33,0.3,0.42,0.4,0.64,0.35,0.49,0.65,0.47,0.47,0.54,0.33,0.67,0.47,0.31,0.41,0.32,0.45,0.64,0.58,0.53,0.59,0.5,0.53,0.32,0.55,0.57,0.7,0.48,0.65,0.52,0.63,1714576000,EURUSD,M15,0.0,1.0,RANGE,NO_TRADE,0.0,0,,
0.58,0.32,0.37,0.35,0.53,0.46,0.44,0.59,0.8,0.6,0.62,0.32,0.58,0.37,0.63,0.65,0.7,0.34,0.62,0.0,1.0,0.0,0.37,0.49,0.46,0.59,0.43,0.62,0.59,0.53,0.64,0.66,0.55,0.69,1714579600,AUDUSD,H1,1.0,1.2,RANGE,SELL,32.3,11,Successful mean reversion in range,
0.66,0.45,0.42,0.68,0.57,0.54,0.4,0.7,0.2,0.55,0.7,0.49,0.39,0.52,0.66,0.32,0.64,0.32,0.57,0.0,1.0,0.0,0.68,0.69,0.64,0.69,0.41,0.32,0.46,0.56,0.45,0.35,0.63,0.38,1714583200,USDJPY,M15,1.0,1.2,RANGE,BUY,22.3,12,Successful mean reversion in range,
0.76,0.89,0.9,0.81,0.48,0.54,0.56,0.68,0.68,0.63,0.71,0.76,0.31,0.31,0.63,0.54,0.31,0.64,0.69,1.0,0.0,0.0,0.38,0.42,0.37,0.5,0.47,0.52,0.42,0.61,0.36,0.61,0.59,0.37,1714586800,EURUSD,H1,1.0,1.5,TREND_UP,BUY,76.8,21,Strong trend following success,
0.4,0.38,0.58,0.57,0.44,0.46,0.61,0.32,0.2,0.47,0.65,0.69,0.67,0.46,0.42,0.57,0.68,0.56,0.32,0.0,1.0,0.0,0.51,0.52,0.61,0.35,0.52,0.6,0.32,0.35,0.35,0.64,0.51,0.64,1714590400,XAUUSD,H1,1.0,1.2,RANGE,BUY,28.3,11,Successful mean reversion in range,
0.5,0.64,0.3,0.44,0.68,0.31,0.49,0.64,0.2,0.5,0.51,0.63,0.6,0.36,0.44,0.31,0.58,0.31,0.41,0.0,1.0,0.0,0.38,0.49,0.66,0.63,0.69,0.51,0.61,0.55,0.34,0.48,0.58,0.57,1714594000,GBPUSD,M15,1.0,1.2,RANGE,BUY,26.2,10,Successful mean reversion in range,
0.31,0.62,0.45,0.35,0.42,0.53,0.36,0.32,0.2,0.35,0.33,0.33,0.36,0.54,0.39,0.49,0.46,0.5,0.41,0.0,1.0,0.0,0.67,0.33,0.51,0.51,0.5,0.63,0.33,0.51,0.69,0.37,0.5,0.58,1714597600,EURUSD,H4,1.0,1.2,RANGE,BUY,31.1,5,Successful mean reversion in range,
0.56,0.4,0.47,0.37,0.7,0.55,0.7,0.53,0.42,0.59,0.56,0.5,0.67,0.39,0.41,0.45,0.57,0.5,0.38,0.37,0.48,0.52,0.38,0.41,0.36,0.34,0.37,0.43,0.48,0.41,0.42,0.68,0.41,0.34,1714601200,EURUSD,H1,0.0,1.0,RANGE,NO_TRADE,0.0,0,,
0.78,0.79,0.78,0.76,0.62,0.67,0.54,0.47,0.47,0.43,0.57,0.39,0.53,0.38,0.68,0.55,0.33,0.69,0.44,1.0,0.0,0.0,0.44,0.45,0.49,0.7,0.41,0.68,0.53,0.53,0.68,0.63,0.69,0.7,1714604800,EURUSD,M15,-1.0,1.0,TREND_UP,BUY,-23.8,7,Trend exhaustion / Bull trap,
0.84,0.83,0.73,0.77,0.39,0.44,0.54,0.33,0.62,0.71,0.77,0.79,0.37,0.53,0.37,0.5,0.41,0.46,0.45,1.0,0.0,0.0,0.48,0.62,0.64,0.32,0.61,0.35,0.37,0.57,0.6,0.54,0.39,0.41,1714608400,GBPUSD,M15,1.0,1.5,TREND_UP,BUY,55.5,15,Strong trend following success,
0.11,0.19,0.23,0.26,0.51,0.4,0.66,0.31,0.24,0.33,0.25,0.3,0.6,0.53,0.43,0.39,0.34,0.38,0.43,1.0,0.0,0.0,0.61,0.38,0.54,0.48,0.55,0.33,0.63,0.59,0.64,0.36,0.59,0.32,1714612000,GBPUSD,H4,1.0,1.5,TREND_DOWN,SELL,50.3,17,Strong bearish trend capture,
0.31,0.64,0.36,0.7,0.52,0.4,0.46,0.52,0.8,0.58,0.5,0.67,0.53,0.58,0.36,0.36,0.44,0.52,0.62,0.0,1.0,0.0,0.54,0.48,0.57,0.46,0.59,0.32,0.33,0.53,0.69,0.6,0.39,0.61,1714615600,GBPUSD,H1,1.0,1.2,RANGE,SELL,27.3,10,Successful mean reversion in range,
0.56,0.59,0.54,0.59,0.32,0.32,0.41,0.5,0.8,0.43,0.56,0.66,0.61,0.6,0.57,0.67,0.44,0.5,0.36,0.0,1.0,0.0,0.69,0.31,0.43,0.65,0.63,0.68,0.42,0.64,0.39,0.43,0.69,0.6,1714619200,AUDUSD,H4,1.0,1.2,RANGE,SELL,18.8,14,Successful mean reversion in range,
0.43,0.48,0.59,0.37,0.63,0.4,0.35,0.39,0.43,0.54,0.4,0.69,0.22,0.29,0.3,0.15,0.59,0.59,0.36,0.36,0.51,0.57,0.35,0.57,0.4,0.47,0.3,0.48,0.45,0.59,0.57,0.58,0.53,0.52,1714622800,EURUSD,H1,0.0,0.5,RANGE,NO_TRADE,0.0,0,Low liquidity - criteria not met,
0.56,0.7,0.63,0.63,0.92,0.84,0.92,1.0,0.68,0.51,0.69,0.48,0.35,0.63,0.63,0.33,0.52,0.46,0.49,0.32,0.34,1.0,0.43,0.66,0.62,0.58,0.6,0.6,0.39,0.39,0.65,0.41,0.38,0.69,1714626400,GBPUSD,H4,-1.0,0.8,VOLATILE,BUY,-47.3,3,Whipsawed in high volatility,
0.24,0.1,0.3,0.28,0.53,0.41,0.7,0.39,0.37,0.32,0.28,0.34,0.33,0.47,0.37,0.64,0.6,0.62,0.64,1.0,0.0,0.0,0.61,0.4,0.45,0.52,0.6,0.49,0.56,0.63,0.36,0.44,0.35,0.61,1714630000,USDCHF,H1,1.0,1.5,TREND_DOWN,SELL,72.3,12,Strong bearish trend capture,
0.18,0.1,0.12,0.18,0.48,0.47,0.6,0.43,0.24,0.24,0.32,0.21,0.34,0.35,0.47,0.37,0.57,0.61,0.57,1.0,0.0,0.0,0.47,0.7,0.57,0.67,0.49,0.56,0.34,0.64,0.59,0.64,0.53,0.42,1714633600,AUDUSD,H4,1.0,1.5,TREND_DOWN,SELL,78.9,30,Strong bearish trend capture,
0.52,0.66,0.4,0.41,0.93,0.96,0.82,0.91,0.33,0.56,0.57,0.5,0.31,0.44,0.32,0.64,0.57,0.62,0.68,0.67,0.47,1.0,0.53,0.6,0.44,0.58,0.34,0.54,0.67,0.39,0.66,0.34,0.39,0.59,1714637200,USDCHF,M15,-1.0,0.8,VOLATILE,SELL,-32.3,7,Whipsawed in high volatility,
0.77,0.79,0.8,0.77,0.4,0.35,0.57,0.54,0.4,0.6,0.54,0.45,0.53,0.51,0.66,0.4,0.62,0.31,0.59,1.0,0.0,0.0,0.55,0.54,0.49,0.69,0.54,0.6,0.43,0.7,0.33,0.52,0.44,0.4,1714640800,EURUSD,M15,-1.0,1.0,TREND_UP,BUY,-38.7,11,Trend exhaustion / Bull trap,
0.79,0.73,0.7,0.76,0.63,0.4,0.65,0.52,0.56,0.51,0.4,0.35,0.32,0.51,0.33,0.59,0.69,0.61,0.49,1.0,0.0,0.0,0.57,0.54,0.61,0.52,0.52,0.49,0.64,0.64,0.59,0.33,0.66,0.54,1714644400,USDJPY,H4,-1.0,1.0,TREND_UP,BUY,-26.0,6,Trend exhaustion / Bull trap,
0.49,0.66,0.69,0.53,0.83,0.81,0.92,0.86,0.63,0.39,0.48,0.45,0.59,0.4,0.36,0.47,0.61,0.62,0.45,0.7,0.51,1.0,0.61,0.63,0.49,0.43,0.68,0.31,0.43,0.4,0.49,0.46,0.54,0.62,1714648000,GBPUSD,M15,-1.0,0.8,VOLATILE,SELL,-31.1,6,Whipsawed in high volatility,
0.57,0.53,0.46,0.53,0.38,0.53,0.42,0.55,0.62,0.44,0.69,0.33,0.26,0.21,0.2,0.2,0.54,0.67,0.39,0.37,0.31,0.67,0.66,0.54,0.64,0.62,0.49,0.68,0.48,0.45,0.68,0.41,0.69,0.37,1714651600,XAUUSD,H4,0.0,0.5,RANGE,NO_TRADE,0.0,0,Low liquidity - criteria not met,
0.52,0.41,0.66,0.55,0.87,0.97,0.8,0.9,0.4,0.4,0.65,0.38,0.68,0.44,0.34,0.58,0.55,0.55,0.52,0.61,0.59,1.0,0.5,0.58,0.34,0.38,0.39,0.56,0.52,0.33,0.31,0.37,0.39,0.48,1714655200,AUDUSD,H4,-1.0,0.8,VOLATILE,SELL,-30.9,4,Whipsawed in high volatility,
0.4,0.53,0.56,0.51,0.55,0.46,0.68,0.5,0.65,0.4,0.46,0.42,0.31,0.51,0.65,0.36,0.31,0.57,0.6,0.51,0.65,0.54,0.53,0.38,0.39,0.3,0.53,0.65,0.7,0.41,0.68,0.56,0.45,0.51,1714658800,USDCHF,H1,0.0,1.0,RANGE,NO_TRADE,0.0,0,,
0.45,0.57,0.59,0.6,0.45,0.58,0.31,0.51,0.61,0.35,0.63,0.68,0.13,0.16,0.16,0.29,0.62,0.35,0.37,0.53,0.66,0.65,0.43,0.41,0.38,0.46,0.5,0.32,0.67,0.31,0.53,0.37,0.57,0.34,1714662400,USDJPY,H1,0.0,0.5,RANGE,NO_TRADE,0.0,0,Low liquidity - criteria not met,
0.41,0.52,0.62,0.38,0.6,0.44,0.49,0.7,0.61,0.64,0.34,0.33,0.2,0.12,0.23,0.25,0.65,0.52,0.44,0.69,0.59,0.57,0.35,0.58,0.45,0.68,0.48,0.51,0.43,0.4,0.7,0.31,0.31,0.66,1714666000,USDJPY,M15,0.0,0.5,RANGE,NO_TRADE,0.0,0,Low liquidity - criteria not met,
0.2,0.26,0.13,0.21,0.67,0.59,0.53,0.41,0.33,0.39,0.31,0.26,0.33,0.37,0.5,0.51,0.42,0.48,0.64,1.0,0.0,0.0,0.39,0.5,0.48,0.68,0.49,0.4,0.46,0.58,0.41,0.35,0.66,0.43,1714669600,AUDUSD,M15,1.0,1.5,TREND_DOWN,SELL,53.9,14,Strong bearish trend capture,
0.66,0.43,0.59,0.63,0.34,0.36,0.49,0.33,0.2,0.33,0.66,0.68,0.52,0.39,0.46,0.45,0.45,0.66,0.42,0.0,1.0,0.0,0.68,0.43,0.32,0.36,0.64,0.5,0.32,0.65,0.37,0.66,0.39,0.56,1714673200,XAUUSD,H1,1.0,1.2,RANGE,BUY,24.5,5,Successful mean reversion in range,
0.63,0.63,0.65,0.37,0.31,0.66,0.69,0.63,0.2,0.36,0.44,0.57,0.35,0.45,0.63,0.55,0.53,0.59,0.55,0.0,1.0,0.0,0.32,0.7,0.62,0.59,0.61,0.64,0.57,0.32,0.33,0.49,0.31,0.39,1714676800,USDJPY,M15,1.0,1.2,RANGE,BUY,30.6,10,Successful mean reversion in range,
